"Longitude","Latitude","Parameter.Name","Date","level"
-90.19865,38.6565,"pm25",2014-01-01,11.6
-121.16446,38.6833,"pm25",2014-01-01,11.7
-77.10468,38.77335,"pm25",2014-01-01,10.7
-76.95278,38.89722,"pm25",2014-01-01,10.7
-119.73251,38.89756,"pm25",2014-01-01,19.5
-77.01318,38.92185,"pm25",2014-01-01,13.1
-121.09959,38.93568,"pm25",2014-01-01,1.7
-75.55518,38.98475,"pm25",2014-01-01,9.6
-122.2818,39.02122,"pm25",2014-01-01,4.6
-76.87833,39.05528,"pm25",2014-01-01,11.5
-77.10694,39.11444,"pm25",2014-01-01,12
-121.61855,39.13877,"pm25",2014-01-01,32.5
-119.7661,39.1447,"pm25",2014-01-01,17.9
-86.50476,39.15938,"pm25",2014-01-01,8.2
-76.60472,39.29806,"pm25",2014-01-01,12.4
-75.7972,39.3052,"pm25",2014-01-01,9.3
-87.4014,39.48615,"pm25",2014-01-01,9.7
-119.80772,39.52508,"pm25",2014-01-01,13.1
-119.78498,39.532,"pm25",2014-01-01,23.7
-119.74676,39.54092,"pm25",2014-01-01,32.8
-77.72164,39.56558,"pm25",2014-01-01,13.2
-75.61074,39.5778,"pm25",2014-01-01,12.9
-75.86,39.70111,"pm25",2014-01-01,13.8
-79.012,39.70595,"pm25",2014-01-01,6.7
-105.0153,39.73217,"pm25",2014-01-01,4.2
-75.55806,39.73944,"pm25",2014-01-01,14.45
-104.98762,39.75118,"pm25",2014-01-01,4.5
-121.84162,39.76154,"pm25",2014-01-01,58.6
-86.21463,39.7889,"pm25",2014-01-01,19.35
-86.11447,39.8111,"pm25",2014-01-01,17.75
-75.76824,39.83446,"pm25",2014-01-01,15.1
-75.3725,39.83556,"pm25",2014-01-01,16.3
-77.30968,39.92002,"pm25",2014-01-01,13.1
-75.18692,39.92287,"pm25",2014-01-01,20.2
-75.16521,39.94465,"pm25",2014-01-01,17
-75.14222,39.96006,"pm25",2014-01-01,15.7
-76.69944,39.96528,"pm25",2014-01-01,12.8
